Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
48401,Star Wars: Shadows of the Empire,PC,97,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,17th Sep 97  ,
48402,Star Wars: Starfighter,PC,02,Simulation,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,20th Jan 02  ,
48403,Star Wars: The Arcade Game,2600,83,Action,Parker Bros.  ,Parker Bros  ,,,N/,N/,N/,N/,N/,01st Jan 83  ,
48404,Star Wars: The Arcade Game,5200,83,Action,Parker Bros.  ,Parker Bros  ,,,N/,N/,N/,N/,N/,01st Jan 83  ,
48405,Star Wars: The Best of PC,PC,06,Misc,LucasArts  ,Various  ,,,N/,N/,N/,N/,N/,21st Nov 06  ,
48406,Star Wars: The Empire Strikes Back,NES,92,Platform,JVC  ,Lucasfilm Games  ,,,N/,N/,N/,N/,N/,01st Mar 92  ,
48407,Star Wars: The Empire Strikes Back,GB,93,Platform,Ubisoft  ,NMS Software  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
48408,Star Wars: The Empire Strikes Back,2600,82,Shooter,Parker Bros.  ,Parker Bros  ,,,N/,N/,N/,N/,N/,22nd May 82  ,
48409,Star Wars: The Force Unleashed,PSN,09,Action,LucasArts  ,Krome Studios  ,,,N/,N/,N/,N/,N/,01st Oct 09  ,
48410,Star Wars: The Force Unleashed - Hoth Mission Pack,XBL,10,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,22nd Feb 10  ,
48411,Star Wars: The Force Unleashed - Hoth Mission Pack,PSN,10,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,22nd Feb 10  ,
48412,Star Wars: The Force Unleashed - Jedi Temple Mission Pack,XBL,08,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,12th Apr 08  ,
48413,Star Wars: The Force Unleashed - Jedi Temple Mission Pack,PSN,,Action,Unknown  ,LucasArts  ,,,N/,N/,N/,N/,N/,,
48414,Star Wars: The Force Unleashed - Tatooine Mission Pack,XBL,09,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,27th Aug 09  ,
48415,Star Wars: The Force Unleashed - Tatooine Mission Pack,PSN,09,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,27th Aug 09  ,
48416,Star Wars: The Force Unleashed - Tatooine Mission Pack,XBL,,Action,Unknown  ,LucasArts  ,,,N/,N/,N/,N/,N/,,
48417,Star Wars: The Force Unleashed - Ultimate Sith Edition,X360,09,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,03rd Nov 09  ,
48418,Star Wars: The Force Unleashed - Ultimate Sith Edition,PC,09,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,03rd Nov 09  ,
48419,Star Wars: The Force Unleashed II,XBL,11,Action,LucasArts  ,LucasArts  ,,6.3  ,N/,N/,N/,N/,N/,20th Sep 11  ,
48420,Star Wars: The Force Unleashed II - Endor Bonus Mission,XBL,10,Action,LucasArts  ,LucasArts  ,,6.0  ,N/,N/,N/,N/,N/,14th Dec 10  ,
48421,Star Wars: The Force Unleashed II - Endor Bonus Mission,PC,11,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,20th Feb 11  ,
48422,Star Wars: The Force Unleashed II - Endor Bonus Mission,PSN,10,Action,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,14th Dec 10  ,
48423,Star Wars: The New Droid Army,GBA,02,Action,THQ  ,Helixe  ,,,N/,N/,N/,N/,N/,14th Nov 02  ,
48424,Star Wars: TIE Fighter,PC,94,Simulation,LucasArts  ,Totally Games  ,,7.0  ,N/,N/,N/,N/,N/,01st Jul 94  ,
48425,Star Wars: Tiny Death Star,And,13,Misc,LucasArts  ,Unknown  ,,,N/,N/,N/,N/,N/,07th Nov 13  ,
48426,Star Wars: X-Wing,PC,93,Simulation,LucasArts  ,Totally Games  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
48427,Star Wars: X-Wing Alliance,PC,99,Simulation,LucasArts  ,Totally Games  ,,,N/,N/,N/,N/,N/,28th Feb 99  ,
48428,Star Wars: X-Wing Collector Series,PC,98,Simulation,LucasArts  ,Totally Games  ,,,N/,N/,N/,N/,N/,31st May 98  ,
48429,Star Wars: X-Wing vs. TIE Fighter,PC,97,Simulation,LucasArts  ,Totally Games  ,,,N/,N/,N/,N/,N/,30th Apr 97  ,
48430,Star Wars: Yoda Stories,GB,99,Adventure,THQ  ,Torus Games  ,,,N/,N/,N/,N/,N/,01st Dec 99  ,
48431,Star Wars: Yoda Stories,PC,97,Adventure,LucasArts  ,LucasArts  ,,,N/,N/,N/,N/,N/,31st Mar 97  ,
48432,Star Wolves 2,PC,06,Role-Playing,1C Company  ,X-Bow Software  ,,,N/,N/,N/,N/,N/,31st Aug 06  ,
48433,Star Wolves 3: Civil War,PC,10,Role-Playing,1C Company  ,Elite Games Team  ,,,N/,N/,N/,N/,N/,02nd Mar 10  ,
48434,Starbase Epsilon,XBL,09,Strategy,Microsoft  ,VDrackus  ,,,N/,N/,N/,N/,N/,28th Nov 09  ,
48435,StarBlade,3DO,95,Shooter,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,01st Jan 95  ,
48436,StarBlade,SCD,94,Shooter,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,01st Jan 94  ,
48437,StarBlade (Arcade),VC,09,Shooter,Namco Bandai  ,Namco  ,,,N/,N/,N/,N/,N/,20th Apr 09  ,
48438,Starbound,Ouya,14,Misc,"Infocom, Inc.  ",Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 14  ,
48439,Starbound,OSX,14,Misc,"Infocom, Inc.  ",Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 14  ,
48440,Starbound,Linux,14,Misc,"Infocom, Inc.  ",Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 14  ,
48441,StarCraft,OSX,99,Misc,Blizzard Entertainment  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 99  ,
48442,StarCraft II: Heart of the Swarm,OSX,13,Misc,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,12th Mar 13  ,
48443,StarCraft II: Legacy of the Void,OSX,15,Misc,Blizzard Entertainment  ,Unknown  ,,,N/,N/,N/,N/,N/,10th Nov 15  ,
48444,StarCraft II: Legacy of the Void,Linux,14,Misc,Gaslamp Games  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 14  ,
48445,StarCraft II: Wings of Liberty,OSX,10,Misc,Blizzard Entertainment  ,Unknown  ,,,N/,N/,N/,N/,N/,27th Jan 10  ,
48446,StarCraft: Brood War,PC,98,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,,9.1  ,N/,N/,N/,N/,N/,30th Nov 98  ,
48447,StarDrive 2,OSX,14,Misc,Iceberg Interactive  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Oct 14  ,
